ipdb_id,fc_slug,title,format,rule,cite_ipdb,quote
4944,corinthian-21t,"""Corinthian"" 21T",bagatelle,positive-prose,4944,"The nameplate reads: This board is the tournament model and recognized by the Corinthian Bagatelle Association, Guaranteed Finland Base."
5681,berlin-or-bust,Berlin Or Bust,bagatelle,positive-prose,5681,The depiction of Adolf Hitler on the playfield dates this bagatelle to World War II.
5997,black-beauty-game,Black Beauty Game,bagatelle,positive-prose,5997,This bagatelle is a pin table with hinged legs for folding.
5375,corinthian-twinity,Corinthian Twinity,bagatelle,positive-prose,5375,"This bagatelle has a shooter lane on both left and right sides of playfield, each with a spring-loaded plunger."
1040,gold-star-3,Gold Star,bagatelle,positive-prose,1040,"Gold Star bagatelles of circa 1933 were made in three versions, and numbered here: #1 - Chrome Triangular sides and bottom apron showing date - Round Metal Top - (24"" x 14"") w/label."
4898,gold-star-6,Gold Star,bagatelle,positive-prose,4898,"Gold Star bagatelles of copyright 1934 were made in two Round Metal Top versions and are numbered here: 1) Brown spotted Triangular sides and bottom apron showing date 1934 (24"" x 14"") w/label 2) Green Triangular sides and bottom apron [...]"
4758,hy-ball,Hy-Ball,bagatelle,positive-prose,4758,Lindstrom's first bagatelle game.
5521,indian-chief,Indian Chief,bagatelle,positive-prose,5521,"Reportedly, this is the rarest model of all Lindstrom bagatelle games."
5431,pickwick,Pickwick,bagatelle,positive-prose,5431,Vertical playfield bagatelle.
5432,pickwick-improved,Pickwick (Improved),bagatelle,positive-prose,5432,Vertical playfield bagatelle.
4894,poker-ball,Poker Ball,bagatelle,positive-prose,4894,This bagatelle also includes rules to use it as a Fortune Telling Game.
6049,skill-ball-junior,Skill Ball Junior,bagatelle,positive-prose,6049,The company name of 'Southwest Game Company' is stamped on the back of each example of this bagatelle for which we have the pictures.
5357,unknown-8,Unknown,bagatelle,positive-prose,5357,French-Chinese bagatelle circa middle to late 1860's.
4820,unknown-three-bell,"Unknown (""Three Bell"")",bagatelle,positive-prose,4820,Singer game called Parlor Bagatelle made in May 1898.
5797,whoopee-game-2,Whoopee Game,bagatelle,positive-prose,5797,The Automatic Age ad shown here suggests this bagatelle came in two sizes.
6813,base-ball,Base Ball,pitch-and-bat,positive-prose,6813,"Hit a ball that come from pitcher by the bat, and the ball into the hole of Hit or Homerun."
2910,bat-a-score,Bat-A-Score,pitch-and-bat,positive-prose,2910,Player bats the ball airborne into the bleachers for scoring.
5574,batting-practice-2,Batting Practice,pitch-and-bat,positive-prose,5574,Player bats the ball airborne into the bleachers for scoring.
6036,batting-practice-3,Batting Practice,pitch-and-bat,positive-prose,6036,Player bats the ball airborne into the bleachers for scoring.
350,bonus-baseball,Bonus Baseball,pitch-and-bat,positive-prose,350,'Bonus Baseball' is the last bat game from this manufacturer.
661,de-luxe-world-series,De Luxe World Series,pitch-and-bat,positive-prose,661,The backglass on this bat game displays the name 'De Luxe World Series'.
2442,deluxe-super-slugger,Deluxe Super Slugger,pitch-and-bat,positive-prose,2442,Player bats the ball airborne into the bleachers for scoring.
5966,dingbat,Dingbat,pitch-and-bat,positive-prose,5966,Player bats the ball airborne into the bleachers for scoring.
4767,home-run-9,Home Run,pitch-and-bat,positive-prose,4767,Player bats the ball airborne into the bleachers for scoring.
3209,league-leader-2,League Leader,pitch-and-bat,positive-prose,3209,"The two Pitch and Bat buttons are not on the lockdown bar like most baseball games, but are placed on the sides of the cabinet where flipper buttons are located on pinball machines."
3335,pennant-fever,Pennant Fever,pitch-and-bat,positive-prose,3335,The first 'pitch & bat' baseball game by Williams to use solid state electronics.
4700,pitchem-batem,Pitch'Em & Bat'Em,pitch-and-bat,positive-prose,4700,"The bat is angled to give the ball elevation, making this a game that is played vertically instead of horizontally like other pitch & bats."
3502,star-slugger,Star Slugger,pitch-and-bat,positive-prose,3502,Player bats the ball airborne into the bleachers for scoring.
4737,star-super-slugger,Star Super Slugger,pitch-and-bat,positive-prose,4737,Player bats the ball airborne into the bleachers for scoring.
4897,super-home-run,Super Home Run,pitch-and-bat,positive-prose,4897,Player bats the ball airborne into the bleachers for scoring.
5507,texas-leaguer,Texas Leaguer,pitch-and-bat,positive-prose,5507,Player bats the ball airborne into the bleachers for scoring.
3661,bowlette,Bowlette,shuffle,positive-prose,3661,'Bowlette' is a miniature shuffle alley.
3245,shuffle-king-shuffle-board,Shuffle-King (Shuffle Board),shuffle,positive-prose,3245,"Chicago Coin documentation refers to this Model 120 as ""Shuffle Board"" and also shows production began Oct-6-1948, the same day that they started making Chicago Coin's 1948 'Shuffle-King Score Board', a scoreboard device for their [...]"
